province;red;green;blue;x;x
160;158;39;194;Dunsthole;x
161;238;148;145;Milbonen;x
162;95;71;229;Torksingst;x
163;144;75;2;Calzasteral;x
164;248;228;17;Ajofrdoso;x
165;46;205;52;Portintana;x
166;16;142;117;Buena;x
167;187;109;150;Almadontigo;x
168;86;220;74;Morasojosa;x
169;134;119;104;Humanar;x
170;148;87;212;Illocente;x
171;12;212;252;Solan;x
172;251;72;8;Irues;x
173;208;26;60;Madelton;x
174;113;98;108;Burtothbur;x
175;31;122;111;Penknorham;x
176;31;192;102;Marshuldon;x
177;157;213;146;Kingtnes;x
178;55;46;201;Brutouth;x
179;246;12;13;Blechfield;x
180;251;218;60;Retfon;x
181;175;84;238;Retfocking;x
182;163;116;160;Flokley;x
183;78;158;90;Dunstash;x
184;85;72;143;Somererden;x
185;16;229;115;Lintord;x
186;50;120;195;Marignonviles;x
187;87;115;100;Charsontecoq;x
188;152;230;134;Bordesploy;x
189;85;226;240;Sceaurthivie;x
190;130;211;204;Pierceletenay;x
191;143;4;163;Gemigauberol;x
192;234;18;134;Poille;x
193;91;134;29;Mardilaran;x
194;55;69;174;Boularvileau;x
195;187;178;231;Beaucerdons;x
196;155;110;241;Faverailigny;x
197;74;179;46;Ascouchamp;x
198;208;190;248;Cortrsainv;x
199;65;58;16;Vimorviles;x
200;40;48;233;Menesainvi;x
201;167;200;132;Taverole;x
202;227;23;89;Amilleurs;x
203;218;122;216;Ascherolony;x
204;212;29;208;Foretemoy;x
205;107;20;238;Saranely;x
206;130;72;180;Nibelemoy;x
207;48;252;34;Vigne;x
208;15;92;53;Belinetieroy;x
209;58;112;87;Lailly;x
210;161;208;233;Lailliers;x
211;167;231;58;Beauchaten;x
212;192;21;217;Ascouranvil;x
213;200;64;105;Ardony;x
214;179;104;150;Vieillonogent;x
215;218;11;150;Nibellorces;x
216;67;69;181;Isdes;x
217;85;216;54;Favervilleson;x
218;25;7;7;Sulorieyron;x
219;53;70;155;Briarsarany;x
220;179;131;54;Coulans;x
221;32;110;105;Kelotila;x
222;99;151;129;Jarve;x
223;183;99;127;Viljaani;x
224;50;84;183;Kivisiemi;x
225;78;49;250;Klovs;x
226;63;217;35;Jamsainena;x
227;128;204;227;Emasa;x
228;212;213;63;Orivenjoki;x
229;57;208;72;Obentiosa;x
230;214;22;67;Numenli;x
231;87;205;211;Paide;x
232;47;200;80;Viohmat;x
233;109;98;39;Sauenmakik;x
234;27;222;168;Pertskog;x
235;32;194;160;Lapuahtari;x
236;83;240;186;Kehra;x
237;200;140;134;Ouluopioski;x
238;154;77;192;Purmokikyla;x
239;48;178;61;Salotila;x
240;175;19;230;Jamsa;x
241;197;48;87;Kouvaarinm;x
242;141;21;49;Hankojak;x
243;194;233;179;Kemijarve;x
244;81;72;238;Unari;x
245;139;195;95;Hinkabolen;x
246;113;65;169;Tuorvamsalu;x
247;130;50;235;Havumiisa;x
248;133;107;19;Mustvala;x
249;121;179;22;Virenkita;x
250;131;88;139;Yloja;x
251;84;101;247;Karkohtla;x
252;188;91;30;Rapinariemi;x
253;235;249;164;Hatiosavesi;x
254;170;86;193;Repospota;x
255;55;189;176;Keravskog;x
256;209;238;95;Otepausarvi;x
257;132;21;67;Ruotsaksyk;x
258;142;202;46;Tuotlajar;x
259;55;24;51;Haaraki;x
260;23;212;221;Raplamasmu;x
261;95;84;89;Akaavonli;x
262;210;151;246;Temalmi;x
263;71;120;216;Munst;x
264;11;140;228;Hintertal;x
265;98;193;217;Sulzheim;x
266;13;95;12;Oberh;x
267;52;137;66;Oberbach;x
268;214;236;240;Sasbachwal;x
269;80;72;161;Rheingen;x
270;71;225;87;Maulbolzhe;x
271;160;85;216;Inzlirchza;x
272;67;179;85;Tribenau;x
273;152;27;86;Hasel;x
274;41;110;46;Marzenbergen;x
275;116;136;13;Winzenengen;x
276;70;38;156;Bretford;x
277;251;184;237;Bridlediton;x
278;167;115;154;Abingheroe;x
279;190;59;20;Cleobromya;x
280;91;118;94;Thetfield;x
281;101;193;210;Knarendove;x
282;12;2;133;Orford;x
283;175;204;209;Wartord;x
284;137;16;76;Rockigmore;x
285;49;197;10;Retfon;x
286;160;155;123;Baldough;x
287;188;150;199;Retfontacut;x
288;244;234;236;Newbilton;x
289;134;136;161;Coleston;x
290;51;210;184;Portster;x
291;70;62;53;Tetbutholme;x
292;120;61;55;Amersea;x
293;52;248;225;Solihfield;x
294;82;147;141;Grampound;x
295;61;157;29;Haltoke;x
296;114;137;31;Rothbos;x
297;61;147;200;Flokleigh;x
298;90;118;43;Bramporley;x
299;8;145;177;Milbolihul;x
300;169;236;220;Botham;x
301;139;36;201;Norhark;x
302;36;109;152;Cliftereham;x
303;218;242;107;Calnetford;x
304;122;87;10;Newbotokeld;x
305;230;57;70;Warehoreha;x
306;201;71;64;Halestle;x
307;179;138;232;Craftoncham;x
308;184;223;195;Mangay;x
309;45;72;107;Harloney;x
310;40;16;191;Credinchel;x
311;13;51;235;Buena;x
312;226;55;188;Nunopetena;x
313;246;73;127;Puertigola;x
314;211;20;251;Dosba;x
315;48;206;227;Prades;x
316;88;171;81;Domindrala;x
317;129;140;179;Castenana;x
318;120;29;72;Ontigoso;x
319;56;35;226;Hontancon;x
320;37;248;133;Cirue;x
321;23;87;134;Ilrionil;x
322;22;36;70;Tutbughbury;x
323;155;34;230;Bartouseho;x
324;9;16;157;Newbord;x
325;228;203;123;Hertford;x
326;172;70;44;Chawlehole;x
327;175;94;224;Bretfract;x
328;15;51;63;Brambruton;x
329;37;20;76;Newensey;x
330;143;207;102;Lintole;x
331;116;238;239;Sidmord;x
332;191;67;210;Tregon;x
333;91;188;126;Brampton;x
334;144;83;60;Clifton;x
335;242;204;70;Cleobridger;x
336;200;241;161;Bardos;x
337;47;241;76;Auvilercevil;x
338;251;53;152;Coulleuvy;x
339;73;14;24;Langery;x
340;73;190;46;Givraune;x
341;4;7;243;Panargisy;x
342;49;72;36;Moulon;x
343;68;142;216;Monteauneubin;x
344;239;132;155;Traines;x
345;4;145;9;Bardoy;x
346;116;228;168;Chatilly;x
347;117;51;124;Loroy;x
348;205;250;166;Ingrarvilelle;x
349;127;2;120;Merinnes;x
350;104;124;119;Seichien;x
351;191;206;36;Viglarvillery;x
352;70;81;75;Trainnecie;x
353;239;211;68;Foretigy;x
354;220;62;221;Tivere;x
355;4;199;81;Villeses;x
356;40;59;18;Piereleurs;x
357;251;30;191;Damonts;x
358;105;24;21;Bardouy;x
359;140;197;141;Chantivernais;x
360;15;88;249;Ferolongy;x
361;182;199;159;Pataynesseaux;x
362;14;134;236;Onzers;x
363;92;125;71;Tiveres;x
364;49;18;227;Trigurlin;x
365;6;120;161;Checy;x
366;70;121;209;Ates;x
367;102;226;19;Nancres;x
368;231;243;45;Chambaceau;x
369;203;171;99;Villiers;x
370;72;30;24;Coliguilu;x
371;184;206;63;Langeseleson;x
372;4;54;238;Cercontvil;x
373;130;151;153;Orleaux;x
374;68;212;120;Rozieres;x
375;197;40;219;Ocres;x
376;161;63;13;Choux;x
377;233;136;84;Bricy;x
378;158;175;225;Chapenevil;x
379;137;155;15;Bardonnesson;x
380;178;86;128;Maula;x
381;214;102;175;Tornidenva;x
382;233;184;2;Nokiasa;x
383;141;31;50;Vehka;x
384;206;139;20;Rivesiskima;x
385;211;253;17;Purmola;x
386;4;138;184;Turala;x
387;101;221;134;Sompunapir;x
388;72;159;207;Lanki;x
389;11;121;60;Hyrylankyla;x
390;115;13;101;Kauniitasa;x
391;126;120;85;Malmia;x
392;141;194;244;Nikijarvi;x
393;76;63;66;Orimala;x
394;211;2;156;Mustvisakul;x
395;151;177;222;Laitinola;x
396;240;39;55;Kaskila;x
397;167;229;98;Jokikarpan;x
398;235;114;238;Vantaumala;x
399;205;193;175;Ahtarauma;x
400;251;172;96;Lapuaapama;x
401;244;238;44;Kauniioli;x
402;73;60;30;Tapaari;x
403;59;87;113;Pakioesu;x
404;114;199;51;Vilja;x
405;23;40;63;Siuntumaki;x
406;206;9;25;Nilsi;x
407;40;2;94;Tulparainen;x
408;4;126;244;Vilpsama;x
409;236;163;89;Manturinen;x
410;87;158;46;Tapanekos;x
411;41;67;84;Kuhmosainen;x
412;142;6;109;Pertaanka;x
413;169;128;33;Kuresuruhmo;x
414;84;101;178;Rauti;x
415;43;85;192;Havumaja;x
416;199;202;191;Hamemaki;x
417;206;66;215;Hatasaskyla;x
418;54;164;240;Beniog;x
419;135;159;19;Burtorough;x
420;118;58;132;Freiachtal;x
421;114;176;153;Haselzavels;x
422;141;5;89;Breitaterbac;x
423;58;56;21;Ripelro;x
424;160;248;40;Pforzenfel;x
425;7;173;154;Schwenbron;x
426;63;112;85;Ehrsbadorf;x
427;11;153;241;Furtweierg;x
428;178;207;48;Grafenzklot;x
429;230;196;159;Lauteinau;x
430;163;236;63;Kipfloch;x
431;73;91;205;Munsterzar;x
432;146;238;56;Kehlauchr;x
433;49;120;217;Lauteim;x
434;184;245;162;Staufenaurg;x
435;136;71;227;Fischlsbach;x
436;110;247;142;Ofringen;x
437;51;153;4;Montaltash;x
438;24;30;153;Andovelisc;x
439;126;75;195;Prestesdon;x
440;59;182;209;Warehinglea;x
441;29;214;217;Bideframpt;x
442;179;179;70;Saltazion;x
443;45;146;32;Andover;x
444;186;32;173;Prestnes;x
445;114;102;232;Piltorleyme;x
446;178;32;169;Dunwicham;x
447;17;214;68;Atherothbud;x
448;105;218;109;Peveneton;x
449;123;136;3;Dodbregone;x
450;230;128;246;Peterampton;x
451;205;38;68;Dymoclithe;x
452;147;118;25;Berkersfier;x
453;46;116;179;Bidefnaley;x
454;58;221;95;Tutbulymery;x
455;199;82;73;Westby;x
456;178;55;179;Brastongley;x
457;244;87;208;Lutonematon;x
458;246;196;27;Manchameton;x
459;78;140;188;Henlereydon;x
460;152;2;68;Aylesford;x
461;85;229;244;Fenostondal;x
462;201;42;40;Clifieldon;x
463;126;57;136;Feltord;x
464;144;84;13;Thatcud;x
465;4;119;84;Wareham;x
466;195;191;247;Frampton;x
467;196;80;212;Harbotregon;x
468;61;4;145;Boscamersha;x
469;151;125;184;Kinversfie;x
470;225;245;15;Hertford;x
471;247;51;13;Berwingdon;x
472;179;115;161;Oterotanes;x
473;229;10;82;Cabansuegr;x
474;9;113;66;Hueca;x
475;216;105;132;Taraveras;x
476;97;252;65;Nobledanca;x
477;201;116;214;Pinillas;x
478;19;233;147;Cinco;x
479;84;117;120;Escampilrio;x
480;150;233;122;Rebol;x
481;61;230;160;Gateshester;x
482;237;203;188;Flokipsea;x
483;54;105;139;Tetbuth;x
484;35;51;223;Warenedont;x
485;218;251;194;Grampingh;x
486;127;83;245;Waleton;x
487;86;56;120;Redclandfo;x
488;6;90;12;Westchisbu;x
489;202;112;253;Hathed;x
490;166;125;176;Warenley;x
491;134;187;180;Skipskipto;x
492;51;83;95;Sudbuthwary;x
493;58;75;12;Betler;x
494;234;149;11;Faver;x
495;254;4;11;Melieu;x
496;226;235;66;Trainely;x
497;64;219;147;Bonnery;x
498;140;56;114;Barviles;x
499;21;219;163;Thign;x
500;139;27;149;Onzerdonviles;x
501;155;213;205;Jargecy;x
502;165;184;114;Isdes;x
503;240;82;36;Quiereteauis;x
504;197;244;49;Chevinibel;x
505;52;74;226;Huetrisermail;x
506;209;145;176;Darvontray;x
507;147;58;152;Crothoux;x
508;52;195;170;Gemigny;x
509;188;205;67;Meungyleslle;x
510;27;216;53;Traines;x
511;184;113;53;Presny;x
512;46;88;192;Onzer;x
513;12;19;139;Isdes;x
514;35;122;86;Males;x
515;91;114;229;Pithienay;x
516;138;9;120;Males;x
517;33;199;146;Cernontbar;x
518;199;228;26;Boismoy;x
519;61;146;9;Coligidy;x
520;116;26;198;Bouzy;x
521;154;38;142;Coullereat;x
522;125;66;152;Dordignere;x
523;166;26;166;Rebreseaux;x
524;47;100;61;Boiscorbeil;x
525;219;80;5;Intvilonogent;x
526;129;153;40;Bonesougy;x
527;83;42;10;Chatesploy;x
528;63;215;159;Chainesul;x
529;248;190;8;Bouzouzoue;x
530;140;139;29;Aveyres;x
531;48;187;202;Chantempieres;x
532;102;47;173;Thimoyleslol;x
533;156;62;91;Pandilail;x
534;209;88;86;Kuhmo;x
535;2;169;141;Kalajarvila;x
536;110;221;141;Vehkarvi;x
537;95;102;63;Tuopio;x
538;50;71;246;Lahti;x
539;147;42;41;Kauhalgaa;x
540;245;157;104;Sureskuedak;x
541;161;104;72;Maula;x
542;159;246;123;Tulpujarv;x
543;93;141;182;Ukimakvere;x
544;80;175;253;Haltasund;x
545;41;147;18;Hamenasla;x
546;3;215;237;Kiviskogam;x
547;182;18;42;Tulparaina;x
548;201;28;240;Oulumaki;x
549;165;194;234;Munapamaki;x
550;2;149;207;Oboleniemi;x
551;163;252;221;Maulavalta;x
552;226;226;51;Lansinen;x
553;87;179;124;Saari;x
554;134;126;230;Kohtlarvi;x
555;201;225;222;Kivesuonen;x
556;9;36;97;Parai;x
557;27;197;165;Torni;x
558;171;107;20;Vierumajala;x
559;225;246;161;Tutiosa;x
560;166;109;193;Tiorvi;x
561;108;161;34;Iskmoki;x
562;85;130;43;Viohmaki;x
563;218;161;156;Harjala;x
564;90;105;56;Kundaka;x
565;205;241;252;Jepsaluhmo;x
566;103;40;223;Ahlaika;x
567;245;51;56;Nikohtla;x
568;200;64;204;Murikulali;x
569;62;19;67;Kaupuonenj;x
570;193;230;52;Munapavesi;x
571;123;211;40;Maula;x
572;210;124;53;Jyvasaarinm;x
573;40;64;71;Kiururala;x
574;254;236;185;Pontetford;x
575;240;57;112;Credifield;x
576;254;123;190;Kirch;x
577;189;69;228;Obern;x
578;220;122;10;Ohlsbachonau;x
579;54;88;198;Karlsulzburg;x
580;164;237;6;Dobeluorn;x
581;13;167;189;Badenweier;x
582;46;165;24;Gutenschwach;x
583;18;65;124;Gutachweiler;x
584;117;102;145;Vilburgen;x
585;145;77;37;Eschbach;x
586;20;80;29;Pfafeld;x
587;248;141;122;Vilenbach;x
588;196;205;116;Cleobury;x
589;39;6;153;Norhalesow;x
590;70;24;26;Norhad;x
591;66;160;87;Newboreham;x
592;27;52;28;Solihertfo;x
593;69;215;42;Haydoridge;x
594;144;112;251;Avetonewend;x
595;79;176;106;Flokward;x
596;134;140;147;Whitfaring;x
597;20;123;19;Bodmich;x
598;212;137;113;Carlitheri;x
599;18;213;248;Altrinchel;x
600;24;214;254;Lewesey;x
601;245;31;188;Boltouth;x
602;51;32;244;Stapleobur;x
603;204;137;194;Stapletley;x
604;72;109;190;Noshilokbu;x
605;138;93;34;Piltokburg;x
606;116;145;167;Penknmouth;x
607;177;143;169;Bothambe;x
608;243;32;78;Cudunwic;x
609;156;199;2;Colester;x
610;242;202;221;Cliftongh;x
611;162;152;32;Flokendale;x
612;231;50;93;Tetbuildfon;x
613;99;209;87;Draxbridg;x
614;203;172;152;Harlombeley;x
615;199;109;167;Flokelif;x
616;39;118;101;Daltorthle;x
617;78;88;201;Boscaxbrid;x
618;213;13;2;Kirbympsto;x
619;117;32;107;Ugena;x
620;6;100;55;Romanajofri;x
621;181;198;151;Estrinillas;x
622;161;57;26;Talaveza;x
623;105;249;179;Sotilmas;x
624;49;84;57;Toreriana;x
625;190;10;126;Morenegred;x
626;75;29;29;Camarides;x
627;151;123;226;Galve;x
628;153;212;3;Somolas;x
629;25;202;72;Masego;x
630;11;12;220;Ugena;x
631;238;182;86;Winklton;x
632;9;82;235;Basinesdon;x
633;56;83;242;Rockioney;x
634;103;204;47;Cliford;x
635;238;53;151;Pontenewbor;x
636;73;131;238;Uxbrisle;x
637;99;64;64;Kingtford;x
638;185;200;152;Heytelsea;x
639;49;154;59;Madelewich;x
640;150;61;91;Rothbridge;x
641;149;236;207;Coligrantargi;x
642;101;80;90;Saranoy;x
643;218;103;38;Gaubes;x
644;141;92;109;Montiloy;x
645;15;97;214;Lailonain;x
646;118;70;194;Presontenay;x
647;8;160;36;Meneseaux;x
648;178;70;199;Mirabaule;x
649;178;131;223;Fleuramoules;x
650;87;52;39;Lombrethivies;x
651;50;142;245;Mormauvily;x
652;246;137;160;Ferollermant;x
653;50;11;47;Dosploy;x
654;226;120;48;Ramou;x
655;64;225;174;Combreville;x
656;82;188;209;Rozienay;x
657;162;212;148;Quierignelles;x
658;222;9;209;Corbes;x
659;117;85;140;Dosontargil;x
660;204;206;125;Autru;x
661;89;167;43;Bauleaurlin;x
662;158;66;74;Chalevoy;x
663;21;129;39;Gatinoy;x
664;253;21;190;Brayleslon;x
665;141;67;74;Dordigny;x
666;174;141;99;Monte;x
667;199;58;96;Chatislonail;x
668;8;119;196;Melay;x
669;167;56;153;Montlevoquy;x
670;138;243;3;Charmenest;x
671;103;65;87;Vitry;x
672;147;147;51;Boignoy;x
673;189;7;64;Brete;x
674;42;140;43;Ardondaroy;x
675;218;159;201;Donneseaux;x
676;248;103;206;Bretefitil;x
677;38;75;193;Aulnacillonet;x
678;243;221;186;Boischantery;x
679;97;210;4;Ondreroloy;x
680;140;120;84;Nargigny;x
681;14;81;224;Nesply;x
682;6;216;13;Mezieaunepoy;x
683;113;251;83;Lieksikaup;x
684;168;64;78;Perttula;x
685;133;155;219;Iskmohjara;x
686;45;243;119;Valga;x
687;253;201;159;Viljalima;x
688;69;106;237;Kivisalo;x
689;3;75;141;Kurikio;x
690;2;44;233;Sulainespo;x
691;45;26;88;Kurikkant;x
692;43;126;161;Haasa;x
693;37;132;8;Ahlaimavola;x
694;135;123;164;Minikoski;x
695;133;14;110;Upininen;x
696;86;92;123;Lankiorgam;x
697;44;87;162;Raplala;x
698;191;117;210;Lanki;x
699;33;39;220;Otepaniemi;x
700;198;68;161;Kotkarvi;x
701;61;8;146;Elvarvi;x
702;249;12;164;Forsuhajok;x
703;211;214;64;Obyrjant;x
704;9;224;180;Seinari;x
705;211;172;47;Kauhari;x
706;172;123;254;Viorutiosa;x
707;129;46;148;Rovanikoski;x
708;115;223;141;Rakveki;x
709;168;97;9;Munapoit;x
710;168;181;234;Hatariosa;x
711;239;147;159;Kemijarvi;x
712;204;105;125;Benkylaja;x
713;180;236;178;Vehkapaves;x
714;164;69;218;Jokikogeva;x
715;10;226;181;Rakvenensu;x
716;207;54;143;Pudasepori;x
717;128;178;210;Lohjalalaa;x
718;116;217;34;Tapaste;x
719;29;49;225;Viviesk;x
720;82;120;176;Hirmuopio;x
721;202;252;201;Klaukylaara;x
722;126;129;105;Kuopijarvin;x
723;217;168;202;Syrjaperala;x
724;198;195;241;Paimima;x
725;174;7;197;Sudbury;x
726;150;160;148;Winkleyard;x
727;20;96;84;Westchil;x
728;233;228;85;Penritford;x
729;53;129;35;Saltarling;x
730;95;120;82;Wartonewbur;x
731;138;252;26;Penknewent;x
732;247;28;134;Kilkhbury;x
733;234;123;111;Montalton;x
734;5;222;112;Kilkheton;x
735;107;242;189;Tuningen;x
736;58;96;17;Schonordrach;x
737;177;95;220;Neuhach;x
738;185;242;197;Eimelertald;x
739;223;184;171;Hausamberg;x
740;241;5;43;Kusteinehr;x
741;167;17;2;Hornbreisa;x
742;124;69;9;Fluorgenbach;x
743;53;233;74;Marchonach;x
744;7;205;179;Simon;x
745;158;123;222;Laufen;x
746;105;44;29;Schwerdorf;x
747;98;217;175;Sulzenfel;x
748;35;188;169;Malbouth;x
749;24;123;82;Wodbury;x
750;250;95;79;Machawleham;x
751;137;231;233;Hornber;x
752;233;115;234;Wigmomyard;x
753;79;134;35;Wigmonstabl;x
754;162;49;156;Westcud;x
755;51;125;97;Bartonedon;x
756;230;80;98;Sherseasal;x
757;160;237;125;Calney;x
758;208;124;84;Retfon;x
759;148;135;161;Padsted;x
760;182;181;181;Frampontef;x
761;229;122;249;Charmarlbo;x
762;43;236;208;Heyteromyar;x
763;15;197;183;Mouseterd;x
764;186;134;45;Colestoner;x
765;3;51;7;Dymochelse;x
766;254;199;191;Warehisbur;x
767;112;149;93;Milboreham;x
768;142;194;33;Launchet;x
769;19;108;82;Wivelesfie;x
770;133;175;89;Uxbrisle;x
771;244;52;75;Torksdon;x
772;119;90;126;Readidefor;x
773;166;197;89;Penknaresb;x
774;79;129;46;Maganola;x
775;80;213;155;Alcaunquera;x
776;176;137;37;Milmasande;x
777;97;104;186;Setilmendr;x
778;160;71;17;Escopiquer;x
779;9;4;15;Megintaloj;x
780;98;240;62;Negregra;x
781;146;242;81;Driebeludo;x
782;184;157;243;Somolvis;x
783;7;168;92;Zarzuevo;x
784;50;193;234;Camarermoso;x
785;123;92;222;Persham;x
786;156;232;143;Credilwort;x
787;210;54;138;Hertford;x
788;12;4;65;Winchawlei;x
789;138;182;205;Cleobirmin;x
790;221;113;238;Montamondbu;x
791;41;119;254;Knutstot;x
792;153;39;181;Saltamyard;x
793;249;130;17;Paignor;x
794;21;59;185;Newbifton;x
795;193;98;124;Abingodman;x
796;108;63;195;Berdester;x
797;177;196;128;Causkiptord;x
798;140;113;60;Tetburton;x
799;244;167;193;Gaubeuveilter;x
800;87;39;136;Chilleneulant;x
801;47;78;107;Bauleresason;x
802;118;158;124;Bouzoy;x
803;209;166;105;Saranvilonain;x
804;238;110;106;Mirabelles;x
805;207;240;49;Boignayerses;x
806;248;223;68;Semoy;x
807;151;210;217;Ardontecoques;x
808;37;8;188;Neuvillertin;x
809;184;36;18;Ercevilleurs;x
810;115;18;205;Combrvile;x
811;104;44;162;Bussigny;x
812;102;179;243;Bondautruy;x
813;232;117;184;Mardillones;x
814;129;127;86;Lornonzerail;x
815;34;38;160;Ivres;x
816;188;252;226;Bacreny;x
817;77;181;244;Merinaynes;x
818;17;134;143;Montiscoux;x
819;177;60;125;Chambonnecy;x
820;227;62;58;Orvillambles;x
821;188;121;11;Orleauvilery;x
822;251;252;190;Mignernoy;x
823;75;30;194;Dampierescoux;x
824;97;99;19;Fontesemoy;x
825;99;134;11;Montieresemoy;x
826;147;70;143;Dontcressoy;x
827;253;155;86;Trigutarvin;x
828;29;41;232;Chateauchatel;x
829;198;12;129;Clery;x
830;215;43;35;Epiedives;x
831;244;25;125;Montesigny;x
832;79;96;94;Mormay;x
833;172;121;232;Gienes;x
834;159;31;96;Mormardons;x
835;209;31;194;Chate;x
836;19;5;47;Chantruy;x
837;200;162;205;Champaneres;x
838;194;133;39;Chars;x
839;126;25;234;Rautike;x
840;203;156;248;Virivesitio;x
841;93;171;43;Vakiedakala;x
842;173;242;125;Itakorkoby;x
843;225;126;25;Savonkari;x
844;113;124;47;Savonivala;x
845;8;215;222;Jioesmuk;x
846;172;113;197;Kelotinenen;x
