Id,Province,Full Name,Form,State,Color,Capital,Area mi2,Total Population,Rural Population,Urban Population
101,Chambon,Chambon Land,Land,Auiersia,#ef9a89,Chambon,99693,71489,62246,9243
102,Antse,Antse Territory,Territory,Viliersasia,#83b9e2,Antse,1046682,307240,302275,4965
103,Dmitvin,Dmitvin Colony,Colony,Viliersasia,#93a1e1,,7209,2749,2749,0
104,New Ences,New Ences Colony,Colony,Viliersasia,#95c5c9,,73773,40626,40626,0
105,Cudlingle,Cudlingle Territory,Territory,Viliersasia,#b7adc2,,28224,12005,12005,0
106,Puisis,Puisis Area,Area,Egnia,#dfb2c5,Puisis,122706,92567,86601,5966
107,Midlingia,Midlingia Territory,Territory,Lonalejasia,#b7ce73,,3618,4967,4967,0
108,Halia,Halia Island,Island,Lonalejasia,#cdd562,,5094,7771,7771,0
109,Raudavland,Raudavland Territory,Territory,Belinola,#ffe335,Haudark,253368,104570,102904,1666
110,Cinolia,Cinolia Colony,Colony,Belinola,#ffd93d,Serbo,212013,163962,162791,1171
111,Uxbridgia,Uxbridgia Territory,Territory,Belinola,#ffe934,,309654,33103,33103,0
112,Castry,Castry Clan,Clan,Belinola,#ffd04b,,517950,699828,699828,0
113,Visov,Visov Region,Region,Zubria,#76ffae,Visov,34371,26393,23684,2709
114,Fenverland,Fenverland Territory,Territory,Zubria,#87d8bf,,14859,544,544,0
115,Allosares,Allosares Territory,Territory,Alcaucia,#ffc66b,Allosares,175014,140457,135758,4699
116,Segamasera,Segamasera Territory,Territory,Alcaucia,#ff9f78,Segamasera,90657,38055,24052,14003
117,Ponton,Ponton Clan,Clan,Alcaucia,#ffa56e,Ponton,180900,107841,104800,3041
118,New Pinia,New Pinia Colony,Colony,Alcaucia,#eaba86,Cengora,243045,206008,169642,36366
119,Banamanana,Banamanana Territory,Territory,Alcaucia,#ffbe63,Banamanana,83538,44568,42057,2511
120,Ogagastia,Ogagastia Island,Island,Alcaucia,#efc673,,16668,5085,5085,0
121,New Drieladia,New Drieladia Colony,Colony,Alcaucia,#f2ad89,,847152,638461,638461,0
122,Maland,Maland Dependency,Dependency,Alcaucia,#ffc56a,,295371,77535,77535,0
123,New Lucera,New Lucera Colony,Colony,Alcaucia,#ff9e7f,,25578,8401,8401,0
124,New Italirueron,New Italirueron Colony,Colony,Alcaucia,#f3aa89,,53469,17831,17831,0
125,Hitchinia,Hitchinia Territory,Territory,Chip,#f891dd,,232470,22291,22291,0
126,Movenania,Movenania Territory,Territory,Torbantia,#c7db82,Valbarmino,48519,27979,22134,5845
127,Mocharesia,Mocharesia Dependency,Dependency,Torbantia,#e9eb5b,Ganamegita,153099,39468,38011,1457
128,Onchepios,Onchepios Land,Land,Nesplia,#65e4d1,Tithiceara,12420,6494,5684,810
129,Cambrid,Cambrid Island,Island,Nesplia,#97c5c6,,34830,17708,17708,0
130,Ramia,Ramia Land,Land,Nesplia,#8be0bc,,22725,846,846,0
131,Gricy,Gricy Island,Island,Crarigneia,#ffc66b,Gricy,29223,55554,48051,7503
132,Jung,Jung Territory,Territory,Crarigneia,#ff9d7e,,161964,32288,32288,0
133,Chil,Chil Land,Land,Heilerten,#c4f86c,,175266,15447,15447,0
134,New Stebachenia,New Stebachenia Colony,Colony,Bienaunin,#eee564,Schlu,162225,246680,230422,16258
135,Biesenwia,Biesenwia Territory,Territory,Bienaunin,#f9fc47,Ehrsburg,59598,24202,22721,1481
136,Otlinland,Otlinland Territory,Territory,Bienaunin,#eaef5f,,26559,12125,12125,0
137,Krerezia,Krerezia Tribe,Tribe,Orchomenia,#ffcb74,Lunov,412569,180895,172266,8629
138,Orlets,Orlets Territory,Territory,Orchomenia,#d7ce91,Mstis,529560,162965,147886,15079
139,Ylajarvinen,Ylajarvinen Area,Area,Porvaval,#efaada,Ylajarvinen,590211,252889,243955,8934
140,Hankan,Hankan Area,Area,Porvaval,#dad3c8,,29763,4887,4887,0
141,Clitria,Clitria Area,Area,Porvaval,#f2aad9,,124569,1146,1146,0
142,Harbia,Harbia Territory,Territory,Cosomotia,#c4d9bb,,15822,2708,2708,0
