Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,Latitude,Longitude,Elevation (ft),Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,City Generator Link
29,Schoberwol,Stebachenia,Stebachenia Earldom,Bienaunin,Principality of Bienaunin,Shwazen,Novimism,2620,21.66,20.73,210,,port,,,,,,https://watabou.github.io/city-generator/?name=Schoberwol&population=2620&size=19&seed=8827550800029&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.07
30,Rinones,Rinones,Rinones County,Torbantia,Kingdom of Torbantia,Astellian,Hergesian Coterie,23501,14.8,58.78,328,,,citadel,walls,,temple,,https://watabou.github.io/city-generator/?name=Rinones&population=23501&size=43&seed=8827550800030&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
31,Eracrapol,Lulatia,Lulatia Parish,Orchomenia,Patriarchate of Orchomenia,Elladan,Rechinok Pantheon,2039,-6.17,-78.66,2759,,,citadel,walls,,temple,,https://watabou.github.io/city-generator/?name=Eracrapol&population=2039&size=17&seed=8827550800031&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
32,Jungsund,Keurenmaa,Keurenmaa Earldom,Klaukmaa,Principality of Klaukmaa,Soumi,Novimism,1587,27.58,5.63,2218,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Jungsund&population=1587&size=15&seed=8827550800032&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
33,Ponton,Ponton,Ponton Clan,Alcaucia,Republic of Alcaucia,Angshire,Angshire Deities,1535,20.33,34.82,3793,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Ponton&population=1535&size=15&seed=8827550800033&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
34,Tottila,Paalalojak,Paalalojak County,Klaukmaa,Principality of Klaukmaa,Soumi,Novimism,2388,21.43,0.07,2218,,port,,,,,,https://watabou.github.io/city-generator/?name=Tottila&population=2388&size=18&seed=8827550800034&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.75
35,Arroissonvil,Gienteautiers,Gienteautiers County,Egnia,Egnian Marches,Luari,Nozie Cult,13699,13.44,-61.53,554,,,,,plaza,,,https://watabou.github.io/city-generator/?name=Arroissonvil&population=13699&size=35&seed=8827550800035&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
36,Karkkanie,Karkkanie,Karkkanie County,Crarigneia,Kingdom of Crarigneia,Soumi,Nozie Cult,16451,33.69,-30.65,266,,,citadel,,plaza,,,https://watabou.github.io/city-generator/?name=Karkkanie&population=16451&size=37&seed=8827550800036&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
37,Vaavajarvi,Tampaa,Tampaa County,Klaukmaa,Principality of Klaukmaa,Soumi,Novimism,10554,28.64,-0.93,1063,,,citadel,,plaza,,,https://watabou.github.io/city-generator/?name=Vaavajarvi&population=10554&size=32&seed=8827550800037&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
38,Wistowey,Wargia,Wargia Parish,Chip,Chip Theocracy,Angshire,Guildendalese Church,5741,20.93,41.68,3793,,,,,,temple,,https://watabou.github.io/city-generator/?name=Wistowey&population=5741&size=25&seed=8827550800038&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
39,Gufen,Hunausen,Hunausen Seneschalty,Bienaunin,Principality of Bienaunin,Shwazen,Novimism,2339,21.12,24.47,738,,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Gufen&population=2339&size=18&seed=8827550800039&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.84
40,Cascacico,Sperganelia,Sperganelia County,Viliersasia,Kingdom of Viliersasia,Tallian,Word of Acuso,10239,-0.63,-45.51,1063,,port,citadel,,,,,https://watabou.github.io/city-generator/?name=Cascacico&population=10239&size=31&seed=8827550800040&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.97
41,Vitratessas,Anerolonia,Anerolonia Margrave,Auiersia,Principality of Auiersia,Luari,Nozie Cult,17240,28.94,-64.67,738,,,,walls,plaza,,,https://watabou.github.io/city-generator/?name=Vitratessas&population=17240&size=38&seed=8827550800041&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
42,Phinialita,Myrgos,Myrgos Parish,Orchomenia,Patriarchate of Orchomenia,Elladan,Rechinok Pantheon,6002,3.88,-91.56,840,,,citadel,,,temple,,https://watabou.github.io/city-generator/?name=Phinialita&population=6002&size=26&seed=8827550800042&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
43,Huerdiello,Ilbentia,Ilbentia County,Torbantia,Kingdom of Torbantia,Astellian,Hergesian Coterie,4559,11.32,56.01,738,,,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Huerdiello&population=4559&size=23&seed=8827550800043&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
44,Charoy,Charoy,Charoy County,Crarigneia,Kingdom of Crarigneia,Luari,Nozie Cult,17343,30.69,-50.1,118,,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Charoy&population=17343&size=38&seed=8827550800044&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.78
45,Tornalla,Alarares,Alarares County,Torbantia,Kingdom of Torbantia,Astellian,Hergesian Coterie,6540,22.18,66.79,1063,,port,,,,,,https://watabou.github.io/city-generator/?name=Tornalla&population=6540&size=26&seed=8827550800045&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.26
46,Malcougal,Gradafielia,Gradafielia Province,Nesplia,Republic of Nesplia,Portuzian,Nozie Cult,11357,19.2,-87.41,1184,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Malcougal&population=11357&size=32&seed=8827550800046&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
47,Seicheville,Aulles,Aulles Province,Nesplia,Republic of Nesplia,Luari,Nozie Cult,2658,18.79,-80.75,13,,port,,walls,,,,https://watabou.github.io/city-generator/?name=Seicheville&population=2658&size=19&seed=8827550800047&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.83
48,Nyreleupak,Kyrian,Kyrian Parish,Orchomenia,Patriarchate of Orchomenia,Elladan,Rechinok Pantheon,4043,-3.95,-85.34,840,,,,,,temple,,https://watabou.github.io/city-generator/?name=Nyreleupak&population=4043&size=22&seed=8827550800048&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
49,Valtamave,Keurenmaa,Keurenmaa Earldom,Klaukmaa,Principality of Klaukmaa,Soumi,Novimism,6093,31.49,2.24,266,,port,citadel,,,,,https://watabou.github.io/city-generator/?name=Valtamave&population=6093&size=26&seed=8827550800049&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.09
50,Varkola,Karkmovia,Karkmovia Margrave,Belinola,Kingdom of Belinola,Soumi,Novimism,11834,11.02,-20.42,52,,,citadel,,plaza,,,https://watabou.github.io/city-generator/?name=Varkola&population=11834&size=33&seed=8827550800050&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
51,Lucera,Lucera,Lucera Canton,Alcaucia,Republic of Alcaucia,Astellian,Astellian Faith,20576,-12.03,76.44,1184,,,,walls,plaza,,,https://watabou.github.io/city-generator/?name=Lucera&population=20576&size=41&seed=8827550800051&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
52,Haringham,Lesia,Lesia Parish,Chip,Chip Theocracy,Angshire,Guildendalese Church,1645,33.48,53.44,397,,,citadel,,,temple,,https://watabou.github.io/city-generator/?name=Haringham&population=1645&size=16&seed=8827550800052&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
53,Charrie,Thouy,Thouy County,Crarigneia,Kingdom of Crarigneia,Luari,Nozie Cult,2076,28.65,-59.31,118,,,,,,,,https://watabou.github.io/city-generator/?name=Charrie&population=2076&size=17&seed=8827550800053&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
54,Todtnausen,Altin,Altin County,Heilerten,Protectorate of Heilerten,Shwazen,Novimism,12856,28.03,36.31,210,,,,walls,,,,https://watabou.github.io/city-generator/?name=Todtnausen&population=12856&size=34&seed=8827550800054&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
55,Polisaduci,Rinolania,Rinolania Margrave,Belinola,Kingdom of Belinola,Tallian,Word of Acuso,8443,2.5,-37.56,13,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Polisaduci&population=8443&size=29&seed=8827550800055&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
56,Agrirossos,Myrgos,Myrgos Parish,Orchomenia,Patriarchate of Orchomenia,Elladan,Rechinok Pantheon,6825,4.61,-88.05,1736,,,citadel,,,temple,,https://watabou.github.io/city-generator/?name=Agrirossos&population=6825&size=27&seed=8827550800056&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
57,Birkengengen,Wildrachia,Wildrachia Seneschalty,Bienaunin,Principality of Bienaunin,Shwazen,Novimism,5170,33.1,25.84,118,,port,,,,,,https://watabou.github.io/city-generator/?name=Birkengengen&population=5170&size=24&seed=8827550800057&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.97
58,Estriecalo,Lucera,Lucera Canton,Alcaucia,Republic of Alcaucia,Astellian,Astellian Faith,2073,-14.66,72.82,266,,,,walls,,,,https://watabou.github.io/city-generator/?name=Estriecalo&population=2073&size=17&seed=8827550800058&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
59,Plaris,Ponion,Ponion Parish,Orchomenia,Patriarchate of Orchomenia,Elladan,Rechinok Pantheon,14156,-9.89,-77.43,210,,port,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator/?name=Plaris&population=14156&size=35&seed=8827550800059&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=0.31
60,Boscastre,Malisin,Malisin Parish,Chip,Chip Theocracy,Angshire,Guildendalese Church,1769,31.72,43.16,161,,,,,plaza,temple,,https://watabou.github.io/city-generator/?name=Boscastre&population=1769&size=16&seed=8827550800060&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
61,Narville,Montcrigre,Montcrigre County,Crarigneia,Kingdom of Crarigneia,Luari,Nozie Cult,18366,30.95,-42.25,82,,,,walls,plaza,,,https://watabou.github.io/city-generator/?name=Narville&population=18366&size=39&seed=8827550800061&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
62,Muhinbach,New Stebachenia,New Stebachenia Colony,Bienaunin,Principality of Bienaunin,Shwazen,Novimism,1556,18.58,19.12,13,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Muhinbach&population=1556&size=15&seed=8827550800062&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
63,Millas,Zaorejope,Zaorejope County,Torbantia,Kingdom of Torbantia,Astellian,Hergesian Coterie,18730,11.35,53.87,1447,,,,walls,plaza,,,https://watabou.github.io/city-generator/?name=Millas&population=18730&size=39&seed=8827550800063&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
64,Glatt,Stebachenia,Stebachenia Earldom,Bienaunin,Principality of Bienaunin,Shwazen,Novimism,2919,26.02,17.89,554,,port,citadel,,,,,https://watabou.github.io/city-generator/?name=Glatt&population=2919&size=19&seed=8827550800064&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.33
65,Beldea,Alarares,Alarares County,Torbantia,Kingdom of Torbantia,Astellian,Hergesian Coterie,6142,18.93,64.19,1312,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Beldea&population=6142&size=26&seed=8827550800065&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
66,Traivesseau,Aulles,Aulles Province,Nesplia,Republic of Nesplia,Luari,Nozie Cult,16277,16.26,-79.11,1312,,,,walls,plaza,,,https://watabou.github.io/city-generator/?name=Traivesseau&population=16277&size=37&seed=8827550800066&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
67,Ailly,Antse,Antse Territory,Viliersasia,Kingdom of Viliersasia,Luari,Word of Acuso,2099,11.1,-59.61,4990,,,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Ailly&population=2099&size=17&seed=8827550800067&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
68,Laura,Milasavia,Milasavia County,Klaukmaa,Principality of Klaukmaa,Soumi,Novimism,23466,25.7,9.01,52,,port,,walls,,,,https://watabou.github.io/city-generator/?name=Laura&population=23466&size=43&seed=8827550800068&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.39
69,Barcotruy,Vilia,Vilia County,Auiersia,Principality of Auiersia,Luari,Nozie Cult,4004,23.32,-67.36,52,,,,,,,,https://watabou.github.io/city-generator/?name=Barcotruy&population=4004&size=22&seed=8827550800069&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
70,Hochenbach,Hunausen,Hunausen Seneschalty,Bienaunin,Principality of Bienaunin,Shwazen,Novimism,1545,29.78,22.42,4492,,,,,,,,https://watabou.github.io/city-generator/?name=Hochenbach&population=1545&size=15&seed=8827550800070&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
71,Tuchse,Altin,Altin County,Heilerten,Protectorate of Heilerten,Shwazen,Novimism,4417,25.37,30.13,5515,,,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Tuchse&population=4417&size=23&seed=8827550800071&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
72,Kylaski,Paalalojak,Paalalojak County,Klaukmaa,Principality of Klaukmaa,Soumi,Novimism,2550,22.98,2.52,1447,,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Kylaski&population=2550&size=18&seed=8827550800072&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.8
73,Bridge,Daria,Daria Parish,Chip,Chip Theocracy,Angshire,Guildendalese Church,10902,21.98,50.67,1736,,,citadel,,,temple,,https://watabou.github.io/city-generator/?name=Bridge&population=10902&size=32&seed=8827550800073&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
74,Chatay,Vilia,Vilia County,Auiersia,Principality of Auiersia,Luari,Nozie Cult,12793,29.26,-74.07,2759,,,citadel,,plaza,,,https://watabou.github.io/city-generator/?name=Chatay&population=12793&size=34&seed=8827550800074&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
