Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,Latitude,Longitude,Elevation (ft),Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,City Generator Link
11,Ugarond-Sho,Ugarond-Sho,Ugarond-Sho County,Inshen,Kingdom of Inshen,Trow (Dark Elfish),Trow (Dark Elfish) Shamanism,3968,18.04,105.02,52,capital,,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Ugarond-Sho&population=3968&size=22&seed=2901772940011&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
12,Vajhafethyr,,,Meranenzan,Duchy of Meranenzan,Trow (Dark Elfish),Trow (Dark Elfish) Shamanism,5831,22.06,106.94,13,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Vajhafethyr&population=5831&size=25&seed=2901772940012&river=1&coast=1&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.4
13,Nelzug,Zrard,Zrard Margrave,Bhic,Grand Duchy of Bhic,Ugluk (Orkish),Ugluk (Orkish)ism,40056,4.57,-107.93,10289,capital,port,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator/?name=Nelzug&population=40056&size=52&seed=2901772940013&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=1.26
14,Ugzild,Azadh,Azadh County,Dird,Principality of Dird,Ugluk (Orkish),Ugluk (Orkish)ism,8553,64.73,-104.19,328,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Ugzild&population=8553&size=29&seed=2901772940014&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.9
15,Tlaughei,Nariolamaha,Nariolamaha Earldom,Tlaughei,Tlaugheian Empire,Trow (Dark Elfish),Trow (Dark Elfish) Shamanism,9786,11.76,95.2,5788,capital,,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Tlaughei&population=9786&size=31&seed=2901772940015&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
16,Bat,Galtia,Galtia Shire,Motontgalia,Motontgalian Khaganate,Dulandir (Human),Jarhanlian Occultism,37849,74.09,58.59,52,capital,,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Bat&population=37849&size=51&seed=2901772940016&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
17,Indesthyr,Indesthyr,Indesthyr County,Gualsadi,Kingdom of Gualsadi,Eldar (Elfish),Eldar (Elfish) Religion,48839,56.06,16.92,52,capital,,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator/?name=Indesthyr&population=48839&size=57&seed=2901772940017&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
18,Iafethan,Iafethan,Iafethan Governorate,Ileande,Republic of Ileande,Eldar (Elfish),Eldar (Elfish) Religion,60797,72.73,36.63,118,capital,port,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator/?name=Iafethan&population=60797&size=61&seed=2901772940018&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=0.72
19,Kuzg,Kaz,Kaz County,Irdin,Kingdom of Irdin,Ugluk (Orkish),Ugluk (Orkish)ism,3404,17.74,-100.37,118,capital,,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Kuzg&population=3404&size=21&seed=2901772940019&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
20,Brog,,,Dhod,Duchy of Dhod,Ugluk (Orkish),Ugluk (Orkish)ism,57059,12.22,-99.4,52,capital,port,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator/?name=Brog&population=57059&size=60&seed=2901772940020&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=1.78
21,Renagostamn,Renagostamn,Renagostamn County,Klautragas,Duchy of Klautragas,Rake (Drakonic),Rake (Drakonic) Deities,59775,-7.21,38,643,capital,port,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator/?name=Renagostamn&population=59775&size=61&seed=2901772940021&river=1&coast=1&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=1.47
22,Hluine,,,Thanas,Duchy of Thanas,Eldar (Elfish),Eldar (Elfish) Religion,4696,71.98,31.99,161,capital,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Hluine&population=4696&size=23&seed=2901772940022&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.14
23,Zrald,Zrald,Zrald Parish,Zord,Zord Theocracy,Ugluk (Orkish),Ugluk (Orkish)ism,4526,44.08,-91.21,328,capital,port,citadel,walls,,temple,,https://watabou.github.io/city-generator/?name=Zrald&population=4526&size=23&seed=2901772940023&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1&sea=1.3
24,Dorg,Zulb,Zulb Barony,Grigh,Kingdom of Grigh,Ugluk (Orkish),Ugluk (Orkish)ism,19972,75.67,-108.95,30,capital,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Dorg&population=19972&size=40&seed=2901772940024&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.87
25,Isadrin,,,Ormar,Grand Duchy of Ormar,Eldar (Elfish),Eldar (Elfish) Religion,33050,72.2,34.52,52,capital,port,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator/?name=Isadrin&population=33050&size=49&seed=2901772940025&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1.15
26,Narurd,,,Bozg,Bozg Union,Ugluk (Orkish),Ugluk (Orkish)ism,49880,55.37,-103.87,328,capital,port,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator/?name=Narurd&population=49880&size=57&seed=2901772940026&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1.57
27,Nul,Nul,Nul County,Zin,Principality of Zin,Khazadur (Dwarven),Khazadur (Dwarven) Spirits,20918,48.92,-127.66,2953,capital,,citadel,walls,,temple,shanty town,https://watabou.github.io/city-generator/?name=Nul&population=20918&size=41&seed=2901772940027&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=1&gates=-1
28,Bhog,Bhog,Bhog Parish,Nel,Nelese Theocracy,Ugluk (Orkish),Ugluk (Orkish)ism,36796,48.87,-87.12,472,capital,port,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator/?name=Bhog&population=36796&size=51&seed=2901772940028&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1.1
29,Khun,,,Sharagz,Duchy of Sharagz,Khazadur (Dwarven),Khazadur (Dwarven) Spirits,10665,35.9,-134.11,643,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Khun&population=10665&size=32&seed=2901772940029&river=1&coast=1&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.32
30,Ma'kamanthim,Imius,Imius County,Auristhedra,Kingdom of Auristhedra,Rake (Drakonic),Rake (Drakonic) Deities,8018,-35.55,25.73,3360,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Ma%27kamanthim&population=8018&size=28&seed=2901772940030&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.68
31,Umugh,Mur,Mur County,Ekh-O,Kingdom of Ekh-O,Ugluk (Orkish),Word of Lazogh,13224,73.08,-82.75,328,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Umugh&population=13224&size=34&seed=2901772940031&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.46
32,Bral,Bhog,Bhog Parish,Ghodod,Ghodod Theocracy,Ugluk (Orkish),Ugluk (Orkish)ism,8822,69.08,-96.94,328,capital,port,citadel,walls,,temple,,https://watabou.github.io/city-generator/?name=Bral&population=8822&size=30&seed=2901772940032&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1&sea=1.95
33,Bilnal,,,Shiz,Protectorate of Shiz,Khazadur (Dwarven),Khazadur (Dwarven) Spirits,13540,52.24,-126.05,2572,capital,,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Bilnal&population=13540&size=35&seed=2901772940033&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
34,Bror,Velg,Velg Parish,Goc,Goc Theocracy,Ugluk (Orkish),Ugluk (Orkish)ism,3954,47.5,-93.69,328,capital,port,citadel,walls,,temple,,https://watabou.github.io/city-generator/?name=Bror&population=3954&size=22&seed=2901772940034&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1&sea=1.09
35,Thalora,Thalora,Thalora County,Thalora,Grand Duchy of Thalora,Eldar (Elfish),Eldar (Elfish) Religion,42534,48.69,8.85,328,capital,port,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator/?name=Thalora&population=42534&size=54&seed=2901772940035&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1
36,Balan,Balan,Balan County,Balan,Ulus of Balan,Dulandir (Human),Dulandir (Human) Beliefs,4481,26.32,15.28,397,capital,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Balan&population=4481&size=23&seed=2901772940036&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.55
37,Ugkagh,Ugkagh,Ugkagh Barony,Chu,Kingdom of Chu,Ugluk (Orkish),Ugluk (Orkish)ism,37105,12.92,-106.04,554,capital,port,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator/?name=Ugkagh&population=37105&size=51&seed=2901772940037&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=1.91
38,Vuc,Vuc,Vuc Province,Ar-Mog,Republic of Ar-Mog,Ugluk (Orkish),Ugluk (Orkish)ism,11791,8.96,-106.94,30,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Vuc&population=11791&size=33&seed=2901772940038&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.93
39,Rezg,,,Rezg,Duchy of Rezg,Ugluk (Orkish),Ugluk (Orkish)ism,56569,75.06,-125.64,643,capital,port,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator/?name=Rezg&population=56569&size=60&seed=2901772940039&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1.27
40,Shan,Shan,Shan County,Shan,Kingdom of Shan,Trow (Dark Elfish),Trow (Dark Elfish) Shamanism,3942,51.68,145.42,210,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Shan&population=3942&size=22&seed=2901772940040&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.37
41,Tuvsh,Khashider,Khashider Tribe,Tsogt,Council of Tsogt,Dulandir (Human),Jarhanlian Occultism,4190,37.35,37.14,397,capital,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Tuvsh&population=4190&size=22&seed=2901772940041&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.64
42,Shame,Shame,Shame County,Brireria,Kingdom of Brireria,Anor (Human),Anor (Human) Beliefs,30676,28.39,21.41,9567,capital,port,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator/?name=Shame&population=30676&size=47&seed=2901772940042&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1.01
43,Meloalorau,Zacorundorge,Zacorundorge County,Salagretat,Kingdom of Salagretat,Rake (Drakonic),Jarhanlian Occultism,2931,11.55,47.77,7559,capital,,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Meloalorau&population=2931&size=19&seed=2901772940043&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
44,Saraghazs,,,Skurlantor,Duchy of Skurlantor,Rake (Drakonic),Rake (Drakonic) Deities,19211,-39.9,23.81,1890,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Saraghazs&population=19211&size=40&seed=2901772940044&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.55
45,Ukthumun,,,Shazakinb,Kingdom of Shazakinb,Khazadur (Dwarven),Khazadur (Dwarven) Spirits,9752,72.36,-157.91,840,capital,,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Ukthumun&population=9752&size=31&seed=2901772940045&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
46,Qash,Qash,Qash Department,Brarud,Republic of Brarud,Ugluk (Orkish),Word of Lazogh,47330,72.38,-92.81,554,capital,port,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator/?name=Qash&population=47330&size=56&seed=2901772940046&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=1.86
47,Chaun,,,Gualhasari,Protectorate of Gualhasari,Eldar (Elfish),Eldar (Elfish) Religion,38116,75.28,38.54,397,capital,port,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator/?name=Chaun&population=38116&size=51&seed=2901772940047&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=0.81
48,Shaul,Shaul,Shaul Landgrave,Vhaltharso,Kingdom of Vhaltharso,Trow (Dark Elfish),Trow (Dark Elfish) Shamanism,18097,73.79,140.09,52,capital,,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Shaul&population=18097&size=39&seed=2901772940048&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
49,Vrob,,,Nudh,Nudh Theocracy,Ugluk (Orkish),Ugluk (Orkish)ism,24295,66.71,-98.12,328,capital,port,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator/?name=Vrob&population=24295&size=43&seed=2901772940049&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1.69
50,Elethrion,,,Olsele,Duchy of Olsele,Eldar (Elfish),Eldar (Elfish) Religion,4719,69.17,27.58,161,capital,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Elethrion&population=4719&size=23&seed=2901772940050&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.84
51,Gualrande,Lylhalye,Lylhalye County,Lelarine,Kingdom of Lelarine,Eldar (Elfish),Eldar (Elfish) Religion,16099,61.17,6.23,840,capital,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Gualrande&population=16099&size=37&seed=2901772940051&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.44
52,Alorelona,Alorelona,Alorelona Department,Selmaron,Republic of Selmaron,Eldar (Elfish),Eldar (Elfish) Religion,22404,56.67,26.39,397,capital,,citadel,walls,,,shanty town,https://watabou.github.io/city-generator/?name=Alorelona&population=22404&size=42&seed=2901772940052&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=1&gates=-1
53,Wethe,Wethe,Wethe Earldom,Wethe,Principality of Wethe,Trow (Dark Elfish),Trow (Dark Elfish) Shamanism,3717,55.68,147.98,118,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Wethe&population=3717&size=21&seed=2901772940053&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.54
54,Okh,Drukh,Drukh Prefecture,Bod,Republic of Bod,Ugluk (Orkish),Ugluk (Orkish)ism,3810,40.61,-67.63,1588,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Okh&population=3810&size=21&seed=2901772940054&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.23
55,Khorb,Nird,Nird County,Qir,Qir Empire,Ugluk (Orkish),Ugluk (Orkish)ism,26654,33.88,-77.95,1312,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Khorb&population=26654&size=45&seed=2901772940055&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.96
56,Hogi,Hogi,Hogi Canton,Saikhir,United Provinces of Saikhir,Dulandir (Human),Jarhanlian Occultism,3968,27.33,30.94,1736,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Hogi&population=3968&size=22&seed=2901772940056&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.58
57,Worgathryka,Worgathryka,Worgathryka Earldom,Fenpnomera,Kingdom of Fenpnomera,Rake (Drakonic),Rake (Drakonic) Deities,13507,7.02,40.79,161,capital,,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Worgathryka&population=13507&size=35&seed=2901772940057&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
58,Sahliminska,Alnirveknir,Alnirveknir Parish,Z'pnona,Z'pnonan Theocracy,Rake (Drakonic),Jarhanlian Occultism,31603,5.76,48.07,161,capital,port,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator/?name=Sahliminska&population=31603&size=48&seed=2901772940058&river=1&coast=1&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1.6
59,Skarl,,,Quehaupres,Protectorate of Quehaupres,Rake (Drakonic),Rake (Drakonic) Deities,25519,-45.57,21.09,4990,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Skarl&population=25519&size=44&seed=2901772940059&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.46
60,Roziz,,,Bozg,Bozg Theocracy,Ugluk (Orkish),Word of Lazogh,4011,78.13,-96.52,30,capital,port,citadel,walls,,temple,,https://watabou.github.io/city-generator/?name=Roziz&population=4011&size=22&seed=2901772940060&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1&sea=0.86
61,Hlaugref,Yridh,Yridh Captaincy,Meryndryn,Kingdom of Meryndryn,Trow (Dark Elfish),Trow (Dark Elfish) Shamanism,20395,69.08,167.66,328,capital,port,citadel,walls,,temple,,https://watabou.github.io/city-generator/?name=Hlaugref&population=20395&size=41&seed=2901772940061&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1&sea=1.61
62,Utheas,Utheas,Utheas County,Tharkaldres,Duchy of Tharkaldres,Trow (Dark Elfish),Trow (Dark Elfish) Shamanism,18016,67.32,139.74,643,capital,,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Utheas&population=18016&size=39&seed=2901772940062&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
63,Ekh,Ekh,Ekh County,Ekh,Protectorate of Ekh,Ugluk (Orkish),Ugluk (Orkish)ism,40327,62.53,-104.29,328,capital,port,citadel,walls,plaza,,shanty town,https://watabou.github.io/city-generator/?name=Ekh&population=40327&size=53&seed=2901772940063&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1&sea=1.32
64,Brur,,,Zrard,Duchy of Zrard,Ugluk (Orkish),Word of Lazogh,3952,53.22,-86.84,738,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Brur&population=3952&size=22&seed=2901772940064&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.65
65,Khulanqab,Khovodongia,Khovodongia Shire,Dashat,Dashish Khaganate,Dulandir (Human),Jarhanlian Occultism,30477,52.04,35.32,397,capital,,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Khulanqab&population=30477&size=47&seed=2901772940065&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
66,Chaz,Chaz,Chaz Parish,Rur,Rur Theocracy,Ugluk (Orkish),Ugluk (Orkish)ism,3269,49.32,-103.82,328,capital,,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator/?name=Chaz&population=3269&size=20&seed=2901772940066&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
67,Alase,Alase,Alase Captaincy,Nioni,Kingdom of Nioni,Eldar (Elfish),Eldar (Elfish) Religion,11088,29.66,5.53,2759,capital,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Alase&population=11088&size=32&seed=2901772940067&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.17
68,Belpas,,,Bouldpasia,Duchy of Bouldpasia,Anor (Human),Anor (Human) Beliefs,3565,21.27,21.61,11037,capital,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Belpas&population=3565&size=21&seed=2901772940068&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.96
69,Yemena,Mirgithyl,Mirgithyl County,Ma-Jikrag,Duchy of Ma-Jikrag,Rake (Drakonic),Rake (Drakonic) Deities,24170,21.27,-3.55,5515,capital,port,citadel,walls,plaza,,shanty town,https://watabou.github.io/city-generator/?name=Yemena&population=24170&size=43&seed=2901772940069&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1&sea=1.06
