province;red;green;blue;x;x
128;255;125;0;name11;x
129;214;125;0;name11;x
130;144;125;0;name26;x
131;102;125;0;name26;x
132;56;125;0;name26;x
133;31;255;255;name11;x
134;23;255;255;name11;x
135;0;255;255;name11;x
136;30;255;255;name11;x
137;0;255;255;name11;x
138;31;255;255;name11;x
139;33;125;0;name27;x
140;33;125;0;name27;x
141;43;125;0;name27;x
142;43;125;0;name27;x
143;40;125;0;name27;x
144;42;125;0;name27;x
145;32;255;255;name11;x
146;31;255;255;name11;x
147;31;255;255;name11;x
148;31;255;255;name11;x
149;31;255;255;name11;x
150;32;255;255;name11;x
151;32;255;255;name11;x
152;32;255;255;name11;x
153;32;255;255;name11;x
154;32;255;255;name11;x
155;32;255;255;name11;x
156;32;255;255;name11;x
157;32;255;255;name11;x
158;32;255;255;name11;x
159;32;255;255;name11;x
160;32;255;255;name11;x
161;32;255;255;name11;x
162;32;255;255;name11;x
163;32;255;255;name11;x
164;32;255;255;name11;x
165;31;255;255;name11;x
166;31;255;255;name11;x
167;31;255;255;name11;x
168;32;255;255;name11;x
169;32;255;255;name11;x
170;32;255;255;name11;x
171;32;125;0;name13;x
172;32;125;0;name28;x
173;33;125;0;name13;x
174;33;125;0;name13;x
175;32;125;0;name13;x
176;33;125;0;name13;x
177;33;125;0;name13;x
178;33;125;0;name29;x
179;33;125;0;name14;x
180;34;125;0;name14;x
181;34;125;0;name14;x
182;34;125;0;name14;x
183;43;125;0;name14;x
184;46;125;0;name15;x
185;39;125;0;name15;x
186;41;125;0;name15;x
187;47;125;0;name15;x
188;48;125;0;name16;x
189;46;125;0;name16;x
190;58;125;0;name16;x
191;68;125;0;name16;x
192;53;125;0;name16;x
193;36;125;0;name16;x
194;36;125;0;name16;x
195;37;125;0;name16;x
196;38;125;0;name16;x
197;37;125;0;name16;x
198;38;125;0;name17;x
199;36;125;0;name17;x
200;48;125;0;name17;x
201;46;125;0;name17;x
202;34;125;0;name17;x
203;37;125;0;name18;x
204;34;125;0;name18;x
205;34;125;0;name18;x
206;34;125;0;name18;x
207;33;125;0;name18;x
208;33;125;0;name18;x
209;33;125;0;name18;x
210;34;125;0;name18;x
211;33;125;0;name30;x
212;33;125;0;name30;x
213;33;125;0;name30;x
214;33;125;0;name30;x
215;32;125;0;name30;x
216;32;125;0;name30;x
217;32;255;255;name11;x
218;32;255;255;name11;x
219;32;255;255;name11;x
220;32;255;255;name11;x
221;32;255;255;name11;x
222;32;255;255;name11;x
223;32;255;255;name11;x
224;32;255;255;name11;x
225;32;255;255;name11;x
226;32;255;255;name11;x
227;32;255;255;name11;x
228;32;255;255;name11;x
229;32;255;255;name11;x
230;32;255;255;name11;x
231;32;255;255;name11;x
232;32;255;255;name11;x
233;32;255;255;name11;x
234;32;255;255;name11;x
235;32;255;255;name11;x
236;32;255;255;name11;x
237;32;255;255;name11;x
238;32;255;255;name11;x
239;32;255;255;name11;x
240;32;255;255;name11;x
241;32;125;0;name31;x
242;32;125;0;name31;x
243;32;125;0;name31;x
244;33;125;0;name31;x
245;33;125;0;name31;x
246;33;125;0;name31;x
247;33;125;0;name31;x
248;33;125;0;name31;x
249;33;125;0;name31;x
250;34;125;0;name31;x
251;34;125;0;name31;x
252;34;125;0;name31;x
253;33;125;0;name31;x
254;32;255;255;name11;x
255;32;255;255;name11;x
256;30;255;255;name11;x
257;1;255;255;name11;x
258;1;255;255;name11;x
259;32;255;255;name11;x
260;28;255;255;name11;x
261;32;255;255;name11;x
262;32;255;255;name11;x
263;32;255;255;name11;x
264;32;255;255;name11;x
265;32;255;255;name11;x
266;32;255;255;name11;x
267;31;255;255;name11;x
268;1;255;255;name11;x
269;23;255;255;name11;x
270;41;255;255;name11;x
271;23;255;255;name11;x
272;30;255;255;name11;x
273;30;255;255;name11;x
274;30;255;255;name11;x
275;34;125;0;name21;x
276;34;125;0;name21;x
277;34;125;0;name21;x
278;34;125;0;name21;x
279;37;125;0;name21;x
280;36;125;0;name21;x
281;36;125;0;name21;x
282;33;125;0;name21;x
283;32;255;255;name11;x
284;32;255;255;name11;x
285;32;255;255;name11;x
286;32;255;255;name11;x
287;31;255;255;name11;x
288;32;255;255;name11;x
289;46;125;0;name22;x
290;46;125;0;name22;x
291;46;125;0;name22;x
292;38;125;0;name32;x
293;38;125;0;name32;x
294;31;255;255;name11;x
295;31;255;255;name11;x
296;33;125;0;name23;x
297;33;125;0;name23;x
298;39;125;0;name23;x
299;39;125;0;name23;x
300;39;125;0;name33;x
301;39;125;0;name33;x
302;38;125;0;name23;x
303;36;125;0;name23;x
304;33;125;0;name23;x
305;46;125;0;name23;x
306;46;125;0;name23;x
307;62;125;0;name23;x
308;62;125;0;name24;x
309;75;125;0;name24;x
310;75;125;0;name24;x
311;75;125;0;name24;x
312;75;125;0;name24;x
313;40;125;0;name24;x
314;28;255;255;name11;x
315;28;255;255;name11;x
316;0;255;255;name11;x
317;1;255;255;name11;x
318;29;255;255;name11;x
319;29;255;255;name11;x
320;68;125;0;name25;x
321;68;125;0;name25;x
322;55;125;0;name25;x
323;156;125;0;name25;x
324;255;125;0;name11;x
325;255;125;0;name11;x
326;255;125;0;name11;x
327;255;125;0;name11;x
328;255;125;0;name11;x
329;255;125;0;name11;x
330;255;125;0;name11;x
331;255;125;0;name11;x
332;199;125;0;name11;x
333;88;125;0;name26;x
334;42;125;0;name26;x
335;38;125;0;name26;x
336;38;125;0;name26;x
337;31;255;255;name11;x
338;26;255;255;name11;x
339;17;255;255;name11;x
340;0;255;255;name11;x
341;0;255;255;name11;x
342;23;255;255;name11;x
343;0;255;255;name11;x
344;35;125;0;name27;x
345;35;125;0;name34;x
346;60;125;0;name27;x
347;71;125;0;name27;x
348;53;125;0;name27;x
349;46;125;0;name27;x
350;38;125;0;name27;x
351;36;125;0;name27;x
352;36;125;0;name27;x
353;36;125;0;name27;x
354;32;125;0;name27;x
355;32;125;0;name27;x
356;32;255;255;name11;x
357;31;255;255;name11;x
358;31;255;255;name11;x
359;31;255;255;name11;x
360;31;255;255;name11;x
361;32;255;255;name11;x
362;32;255;255;name11;x
363;33;255;255;name11;x
364;32;255;255;name11;x
365;32;255;255;name11;x
366;32;255;255;name11;x
367;32;255;255;name11;x
368;32;255;255;name11;x
369;32;255;255;name11;x
370;32;255;255;name11;x
371;32;255;255;name11;x
372;34;125;0;name35;x
373;34;125;0;name35;x
374;34;125;0;name35;x
375;34;125;0;name28;x
376;34;125;0;name28;x
377;34;125;0;name28;x
378;32;255;255;name11;x
379;32;125;0;name28;x
380;32;125;0;name28;x
381;33;125;0;name28;x
382;32;125;0;name13;x
383;33;125;0;name13;x
384;33;125;0;name13;x
385;33;125;0;name29;x
386;33;125;0;name29;x
387;33;125;0;name29;x
388;33;125;0;name29;x
389;34;125;0;name14;x
390;41;125;0;name14;x
391;88;125;0;name14;x
392;109;125;0;name14;x
393;112;125;0;name15;x
394;91;125;0;name15;x
395;60;125;0;name15;x
396;47;125;0;name16;x
397;51;125;0;name16;x
398;64;125;0;name16;x
399;58;125;0;name16;x
400;50;125;0;name16;x
401;44;125;0;name16;x
402;36;125;0;name16;x
403;37;125;0;name16;x
404;42;125;0;name16;x
405;40;125;0;name16;x
406;34;125;0;name16;x
407;44;125;0;name17;x
408;94;125;0;name17;x
409;62;125;0;name17;x
410;41;125;0;name17;x
411;40;125;0;name18;x
412;56;125;0;name18;x
413;64;125;0;name18;x
414;47;125;0;name18;x
415;38;125;0;name18;x
416;35;125;0;name18;x
417;34;125;0;name18;x
418;37;125;0;name30;x
419;33;125;0;name30;x
420;33;125;0;name30;x
421;33;125;0;name30;x
422;33;125;0;name30;x
423;32;125;0;name30;x
424;32;125;0;name30;x
425;40;125;0;name30;x
426;40;125;0;name30;x
427;35;125;0;name36;x
428;33;125;0;name36;x
429;33;125;0;name36;x
430;32;255;255;name11;x
431;42;125;0;name37;x
432;42;125;0;name36;x
433;42;125;0;name37;x
434;37;125;0;name37;x
435;39;125;0;name37;x
436;39;125;0;name37;x
437;33;125;0;name37;x
438;33;125;0;name37;x
439;32;255;255;name11;x
440;32;255;255;name11;x
441;32;255;255;name11;x
442;32;255;255;name11;x
443;32;255;255;name11;x
444;32;255;255;name11;x
445;32;255;255;name11;x
446;32;255;255;name11;x
447;32;255;255;name11;x
448;34;125;0;name31;x
449;34;125;0;name38;x
450;38;125;0;name31;x
451;40;125;0;name31;x
452;36;125;0;name31;x
453;36;125;0;name31;x
454;36;125;0;name31;x
455;40;125;0;name31;x
456;55;125;0;name39;x
457;94;125;0;name40;x
458;94;125;0;name40;x
459;71;125;0;name40;x
460;50;125;0;name40;x
461;32;255;255;name11;x
462;32;255;255;name11;x
463;32;255;255;name11;x
464;33;125;0;name41;x
465;33;125;0;name41;x
466;33;125;0;name41;x
467;33;125;0;name20;x
468;36;125;0;name20;x
469;36;125;0;name20;x
470;34;125;0;name20;x
471;36;125;0;name20;x
472;36;125;0;name20;x
473;41;125;0;name20;x
474;30;255;255;name11;x
475;32;255;255;name11;x
476;37;125;0;name21;x
477;37;125;0;name21;x
478;39;125;0;name21;x
479;39;125;0;name21;x
480;36;125;0;name21;x
481;36;125;0;name21;x
482;34;125;0;name21;x
483;34;125;0;name21;x
484;34;125;0;name21;x
485;34;125;0;name21;x
486;34;125;0;name21;x
487;34;125;0;name21;x
488;33;125;0;name21;x
489;32;255;255;name11;x
490;33;255;255;name11;x
491;32;255;255;name11;x
492;32;255;255;name11;x
493;32;255;255;name11;x
494;33;125;0;name22;x
495;33;125;0;name22;x
496;33;125;0;name22;x
497;33;125;0;name22;x
498;34;125;0;name32;x
499;34;125;0;name22;x
500;32;255;255;name11;x
501;32;255;255;name11;x
502;32;255;255;name11;x
503;31;255;255;name11;x
504;41;125;0;name33;x
505;41;125;0;name33;x
506;41;125;0;name33;x
507;41;125;0;name33;x
508;32;125;0;name33;x
509;32;125;0;name33;x
510;32;255;255;name11;x
511;32;255;255;name11;x
512;32;255;255;name11;x
513;32;255;255;name11;x
514;32;255;255;name11;x
515;37;125;0;name24;x
516;37;125;0;name24;x
517;55;125;0;name24;x
518;55;125;0;name24;x
519;62;125;0;name24;x
520;73;125;0;name24;x
521;32;255;255;name11;x
522;17;255;255;name11;x
523;17;255;255;name11;x
524;32;255;255;name11;x
525;0;255;255;name11;x
526;28;255;255;name11;x
527;31;255;255;name11;x
528;27;255;255;name11;x
529;53;125;0;name25;x
530;53;125;0;name25;x
531;32;125;0;name25;x
532;32;125;0;name42;x
533;99;125;0;name25;x
534;234;125;0;name11;x
535;255;125;0;name11;x
536;255;125;0;name11;x
537;255;125;0;name11;x
538;255;125;0;name11;x
539;255;125;0;name11;x
540;255;125;0;name11;x
541;255;125;0;name11;x
542;255;125;0;name11;x
543;244;125;0;name11;x
544;119;125;0;name26;x
545;119;125;0;name26;x
546;119;125;0;name26;x
547;35;125;0;name26;x
548;26;255;255;name11;x
549;0;255;255;name11;x
550;1;255;255;name11;x
551;0;255;255;name11;x
552;0;255;255;name11;x
553;0;255;255;name11;x
554;1;255;255;name11;x
555;32;255;255;name11;x
556;31;255;255;name11;x
557;40;125;0;name34;x
558;40;125;0;name34;x
559;68;125;0;name34;x
560;75;125;0;name27;x
561;55;125;0;name27;x
562;50;125;0;name27;x
563;46;125;0;name27;x
564;42;125;0;name27;x
565;37;125;0;name27;x
566;38;125;0;name27;x
567;38;125;0;name27;x
568;38;125;0;name27;x
569;41;125;0;name43;x
570;41;125;0;name43;x
571;41;125;0;name43;x
572;40;125;0;name43;x
573;40;125;0;name43;x
574;40;125;0;name43;x
575;32;255;255;name11;x
576;32;255;255;name11;x
577;32;255;255;name11;x
578;33;125;0;name44;x
579;32;255;255;name11;x
580;32;255;255;name11;x
581;32;255;255;name11;x
582;32;255;255;name11;x
583;32;255;255;name11;x
584;32;255;255;name11;x
585;32;255;255;name11;x
586;32;125;0;name35;x
587;32;125;0;name35;x
588;32;255;255;name11;x
589;33;125;0;name35;x
590;33;125;0;name35;x
591;33;125;0;name35;x
592;33;125;0;name35;x
593;33;125;0;name35;x
594;36;125;0;name28;x
595;36;125;0;name28;x
596;36;125;0;name28;x
597;34;125;0;name28;x
598;33;125;0;name28;x
599;33;125;0;name28;x
600;32;125;0;name13;x
601;33;125;0;name29;x
602;33;125;0;name29;x
603;33;125;0;name29;x
604;34;125;0;name29;x
605;34;125;0;name29;x
606;36;125;0;name29;x
607;36;125;0;name29;x
608;60;125;0;name29;x
609;88;125;0;name29;x
610;115;125;0;name15;x
611;88;125;0;name15;x
612;73;125;0;name16;x
613;47;125;0;name16;x
614;42;125;0;name16;x
615;42;125;0;name16;x
616;41;125;0;name16;x
617;46;125;0;name16;x
618;40;125;0;name16;x
619;40;125;0;name16;x
620;40;125;0;name16;x
621;43;125;0;name16;x
622;36;125;0;name16;x
623;34;125;0;name16;x
624;55;125;0;name16;x
625;129;125;0;name17;x
626;80;125;0;name17;x
627;47;125;0;name17;x
628;42;125;0;name17;x
629;60;125;0;name17;x
630;88;125;0;name18;x
631;56;125;0;name18;x
632;33;125;0;name18;x
633;33;125;0;name18;x
634;36;125;0;name18;x
635;34;125;0;name30;x
636;33;125;0;name30;x
637;33;125;0;name30;x
638;33;125;0;name30;x
639;33;125;0;name30;x
640;33;125;0;name30;x
641;41;125;0;name30;x
642;56;125;0;name45;x
643;71;125;0;name36;x
644;38;125;0;name36;x
645;34;125;0;name36;x
646;66;125;0;name37;x
647;80;125;0;name37;x
648;88;125;0;name37;x
649;88;125;0;name37;x
650;46;125;0;name37;x
651;46;125;0;name19;x
652;32;255;255;name11;x
653;32;255;255;name11;x
654;32;255;255;name11;x
655;32;255;255;name11;x
656;32;255;255;name11;x
657;32;255;255;name11;x
658;32;255;255;name11;x
659;33;125;0;name38;x
660;33;125;0;name38;x
661;33;125;0;name38;x
662;44;125;0;name38;x
663;44;125;0;name38;x
664;68;125;0;name38;x
665;78;125;0;name46;x
666;78;125;0;name31;x
667;78;125;0;name47;x
668;94;125;0;name31;x
669;85;125;0;name47;x
670;133;125;0;name47;x
671;164;125;0;name39;x
672;122;125;0;name39;x
673;99;125;0;name48;x
674;60;125;0;name40;x
675;60;125;0;name40;x
676;62;125;0;name41;x
677;62;125;0;name41;x
678;43;125;0;name41;x
679;34;125;0;name41;x
680;38;125;0;name41;x
681;37;125;0;name41;x
682;38;125;0;name20;x
683;42;125;0;name20;x
684;56;125;0;name20;x
685;68;125;0;name20;x
686;68;125;0;name20;x
687;53;125;0;name20;x
688;53;125;0;name20;x
689;38;125;0;name49;x
690;33;125;0;name49;x
691;33;125;0;name49;x
692;32;255;255;name11;x
693;32;255;255;name11;x
694;33;125;0;name21;x
695;33;125;0;name21;x
696;33;125;0;name21;x
697;33;125;0;name21;x
698;33;125;0;name21;x
699;32;255;255;name11;x
700;32;255;255;name11;x
701;32;255;255;name11;x
702;32;255;255;name11;x
703;32;255;255;name11;x
704;32;255;255;name11;x
705;32;255;255;name11;x
706;32;255;255;name11;x
707;34;125;0;name22;x
708;34;125;0;name22;x
709;34;125;0;name22;x
710;34;125;0;name33;x
711;34;125;0;name33;x
712;34;125;0;name32;x
713;33;125;0;name32;x
714;33;125;0;name32;x
715;47;125;0;name32;x
716;47;125;0;name32;x
717;47;125;0;name32;x
718;32;125;0;name32;x
719;32;125;0;name32;x
720;32;125;0;name32;x
721;32;255;255;name11;x
722;32;255;255;name11;x
723;32;255;255;name11;x
724;32;255;255;name11;x
725;32;255;255;name11;x
726;34;125;0;name24;x
727;34;125;0;name24;x
728;44;125;0;name24;x
729;50;125;0;name24;x
730;50;125;0;name24;x
731;50;125;0;name24;x
732;32;255;255;name11;x
733;32;255;255;name11;x
734;26;255;255;name11;x
735;32;255;255;name11;x
736;0;255;255;name11;x
737;28;255;255;name11;x
738;27;255;255;name11;x
739;27;255;255;name11;x
740;32;255;255;name11;x
741;30;255;255;name11;x
742;37;125;0;name42;x
743;37;125;0;name42;x
744;122;125;0;name42;x
745;219;125;0;name11;x
746;255;125;0;name11;x
747;255;125;0;name11;x
748;255;125;0;name11;x
749;255;125;0;name11;x
750;255;125;0;name11;x
751;255;125;0;name11;x
752;250;125;0;name11;x
753;250;125;0;name11;x
754;119;125;0;name11;x
755;78;125;0;name11;x
756;78;125;0;name11;x
757;36;125;0;name11;x
758;29;255;255;name11;x
759;0;255;255;name11;x
760;0;255;255;name11;x
761;23;255;255;name11;x
762;0;255;255;name11;x
763;0;255;255;name11;x
764;0;255;255;name11;x
765;1;255;255;name11;x
766;17;255;255;name11;x
767;17;255;255;name11;x
768;0;255;255;name11;x
769;31;255;255;name11;x
770;0;255;255;name11;x
771;31;255;255;name11;x
772;31;255;255;name11;x
773;58;125;0;name34;x
774;99;125;0;name34;x
775;60;125;0;name34;x
776;43;125;0;name34;x
777;40;125;0;name34;x
778;41;125;0;name34;x
779;42;125;0;name34;x
780;43;125;0;name34;x
781;38;125;0;name34;x
782;40;125;0;name43;x
783;40;125;0;name34;x
784;40;125;0;name43;x
785;40;125;0;name50;x
786;40;125;0;name50;x
787;41;125;0;name50;x
788;32;255;255;name11;x
789;32;255;255;name11;x
790;32;255;255;name11;x
791;32;255;255;name11;x
792;32;255;255;name11;x
793;32;255;255;name11;x
794;34;125;0;name35;x
795;34;125;0;name35;x
796;34;125;0;name35;x
797;33;125;0;name35;x
798;33;125;0;name35;x
799;36;125;0;name35;x
800;36;125;0;name35;x
801;35;125;0;name35;x
802;36;125;0;name35;x
803;36;125;0;name35;x
804;36;125;0;name28;x
805;50;125;0;name28;x
806;36;125;0;name28;x
807;33;125;0;name28;x
808;32;125;0;name28;x
809;33;125;0;name29;x
810;33;125;0;name29;x
811;33;125;0;name29;x
812;33;125;0;name29;x
813;34;125;0;name29;x
814;34;125;0;name29;x
815;34;125;0;name29;x
816;47;125;0;name29;x
817;55;125;0;name29;x
818;78;125;0;name29;x
819;78;125;0;name51;x
820;88;125;0;name51;x
821;56;125;0;name16;x
822;50;125;0;name16;x
823;55;125;0;name16;x
824;51;125;0;name16;x
825;48;125;0;name16;x
826;48;125;0;name16;x
827;48;125;0;name16;x
828;47;125;0;name16;x
829;44;125;0;name16;x
830;44;125;0;name16;x
831;40;125;0;name16;x
832;34;125;0;name52;x
833;66;125;0;name52;x
834;133;125;0;name17;x
835;71;125;0;name17;x
836;47;125;0;name17;x
837;47;125;0;name17;x
838;51;125;0;name17;x
839;109;125;0;name18;x
840;50;125;0;name18;x
841;62;125;0;name18;x
842;36;125;0;name18;x
843;46;125;0;name30;x
844;36;125;0;name30;x
845;33;125;0;name30;x
846;34;125;0;name45;x
847;37;125;0;name45;x
848;41;125;0;name45;x
849;43;125;0;name45;x
850;41;125;0;name45;x
851;55;125;0;name45;x
852;73;125;0;name36;x
853;83;125;0;name36;x
854;64;125;0;name36;x
855;55;125;0;name36;x
856;66;125;0;name37;x
857;83;125;0;name37;x
858;48;125;0;name37;x
859;37;125;0;name19;x
860;33;125;0;name19;x
861;32;255;255;name11;x
862;32;255;255;name11;x
863;32;255;255;name11;x
864;32;255;255;name11;x
865;32;255;255;name11;x
866;32;255;255;name11;x
867;32;255;255;name11;x
868;32;255;255;name11;x
869;32;125;0;name46;x
870;36;125;0;name46;x
871;46;125;0;name46;x
872;46;125;0;name47;x
873;85;125;0;name47;x
874;83;125;0;name47;x
875;71;125;0;name47;x
876;99;125;0;name47;x
877;68;125;0;name48;x
878;50;125;0;name48;x
879;50;125;0;name48;x
880;60;125;0;name40;x
881;55;125;0;name41;x
882;75;125;0;name41;x
883;34;125;0;name41;x
884;38;125;0;name41;x
885;40;125;0;name41;x
886;43;125;0;name20;x
887;46;125;0;name20;x
888;50;125;0;name20;x
889;48;125;0;name20;x
890;48;125;0;name20;x
891;50;125;0;name20;x
892;50;125;0;name49;x
893;46;125;0;name49;x
894;44;125;0;name21;x
895;34;125;0;name21;x
896;37;125;0;name21;x
897;37;125;0;name21;x
898;35;125;0;name22;x
899;34;125;0;name22;x
900;34;125;0;name22;x
901;34;125;0;name22;x
902;33;125;0;name22;x
903;33;125;0;name22;x
904;35;125;0;name22;x
905;42;125;0;name22;x
906;47;125;0;name32;x
907;41;125;0;name32;x
908;38;125;0;name32;x
909;43;125;0;name32;x
910;43;125;0;name32;x
911;36;125;0;name32;x
912;32;255;255;name11;x
913;32;255;255;name11;x
914;32;255;255;name11;x
915;32;255;255;name11;x
916;32;255;255;name11;x
917;32;255;255;name11;x
918;32;255;255;name11;x
919;32;255;255;name11;x
920;35;125;0;name24;x
921;35;125;0;name24;x
922;51;125;0;name24;x
923;51;125;0;name24;x
924;112;125;0;name24;x
925;112;125;0;name24;x
926;78;125;0;name24;x
927;32;255;255;name11;x
928;0;255;255;name11;x
929;17;255;255;name11;x
930;0;255;255;name11;x
931;32;255;255;name11;x
932;0;255;255;name11;x
933;30;255;255;name11;x
934;38;125;0;name42;x
935;38;125;0;name42;x
936;50;125;0;name42;x
937;50;125;0;name42;x
938;106;125;0;name42;x
939;229;125;0;name11;x
940;255;125;0;name11;x
941;255;125;0;name11;x
942;255;125;0;name11;x
943;255;125;0;name11;x
944;255;125;0;name11;x
945;133;125;0;name11;x
946;133;125;0;name11;x
947;30;255;255;name11;x
948;30;255;255;name11;x
949;30;255;255;name11;x
950;29;255;255;name11;x
951;29;255;255;name11;x
952;29;255;255;name11;x
953;0;255;255;name11;x
954;23;255;255;name11;x
955;23;255;255;name11;x
956;34;255;255;name11;x
957;26;255;255;name11;x
958;23;255;255;name11;x
959;36;125;0;name53;x
960;33;125;0;name53;x
961;31;255;255;name11;x
962;0;255;255;name11;x
963;26;255;255;name11;x
964;30;255;255;name11;x
965;31;255;255;name11;x
966;31;255;255;name11;x
967;46;125;0;name54;x
968;46;125;0;name54;x
969;91;125;0;name34;x
970;62;125;0;name34;x
971;48;125;0;name34;x
972;48;125;0;name34;x
973;36;125;0;name34;x
974;36;125;0;name34;x
975;34;125;0;name34;x
976;37;125;0;name34;x
977;37;125;0;name34;x
978;43;125;0;name34;x
979;40;125;0;name34;x
980;34;125;0;name34;x
981;32;255;255;name11;x
982;32;255;255;name11;x
983;32;255;255;name11;x
984;32;255;255;name11;x
985;33;125;0;name50;x
986;32;255;255;name11;x
987;35;255;255;name11;x
988;33;125;0;name55;x
989;33;125;0;name55;x
990;33;125;0;name55;x
991;34;125;0;name35;x
992;34;125;0;name55;x
993;34;125;0;name35;x
994;36;125;0;name35;x
995;34;125;0;name35;x
996;36;125;0;name35;x
997;34;125;0;name35;x
998;34;125;0;name35;x
999;34;125;0;name35;x
1000;44;125;0;name28;x
1001;33;125;0;name28;x
1002;33;125;0;name28;x
1003;33;125;0;name28;x
1004;33;125;0;name28;x
1005;34;125;0;name28;x
1006;34;125;0;name29;x
1007;33;125;0;name29;x
1008;33;125;0;name29;x
1009;33;125;0;name29;x
1010;33;125;0;name29;x
1011;33;125;0;name29;x
1012;51;125;0;name29;x
1013;48;125;0;name29;x
1014;64;125;0;name29;x
1015;75;125;0;name51;x
1016;68;125;0;name16;x
1017;68;125;0;name16;x
1018;64;125;0;name16;x
1019;62;125;0;name16;x
1020;64;125;0;name16;x
1021;71;125;0;name16;x
1022;58;125;0;name16;x
1023;53;125;0;name16;x
1024;48;125;0;name16;x
1025;46;125;0;name16;x
1026;41;125;0;name16;x
1027;38;125;0;name16;x
1028;34;125;0;name52;x
1029;55;125;0;name52;x
1030;129;125;0;name52;x
1031;96;125;0;name17;x
1032;64;125;0;name17;x
1033;83;125;0;name17;x
1034;88;125;0;name17;x
1035;160;125;0;name18;x
1036;144;125;0;name18;x
1037;53;125;0;name18;x
1038;129;125;0;name18;x
1039;62;125;0;name30;x
1040;35;125;0;name30;x
1041;37;125;0;name45;x
1042;58;125;0;name45;x
1043;53;125;0;name45;x
1044;47;125;0;name45;x
1045;60;125;0;name45;x
1046;71;125;0;name45;x
1047;75;125;0;name45;x
1048;78;125;0;name36;x
1049;55;125;0;name36;x
1050;55;125;0;name36;x
1051;43;125;0;name36;x
1052;39;125;0;name37;x
1053;44;125;0;name37;x
1054;44;125;0;name37;x
1055;44;125;0;name37;x
1056;41;125;0;name37;x
1057;41;125;0;name19;x
1058;41;125;0;name19;x
1059;41;125;0;name19;x
1060;41;125;0;name19;x
1061;38;125;0;name19;x
1062;38;125;0;name19;x
1063;38;125;0;name19;x
1064;38;125;0;name19;x
1065;38;125;0;name19;x
1066;40;125;0;name19;x
1067;32;255;255;name11;x
1068;32;255;255;name11;x
